Vilas Boas,47
Vilela Seca,48
Vilela do Tamega,49
Santa Maria Maior,50
Planalto de Monforte (Oucidres e Bobadela),53
Madalena e Samaioes,54
Eiras, Sao Juliao de Montenegro e Cela,55
Calvao e Soutelinho da Raia,56
Loivos e Povoa de Agracoes,57
Santa Cruz/Trindade e Sanjurge,58
Soutelo e Seara Velha,59
Travancas e Roriz,60
Vidago, Arcosso, Selhariz, Vilarinho Paranheiras,61
Mesao Frio,4
Barqueiros,01
Cidadelhe,02
Oliveira,03
Vila Marim,07
Mesao Frio (Santo Andre),08
Mondim de Basto,5
Atei,01
Bilho,02
Mondim de Basto,05
Vilar de Ferreiros,08
Campanho e Paradanca,09
Ermelo e Pardelhas,10
Montalegre,6
Cabril,01
Cervos,03
Cha,04
Covelo do Geres,07
Ferral,09
Gralhas,12
Morgade,16
Negroes,18
Outeiro,19
Pitoes Das Junias,23
Reigoso,25
Salto,26
Santo Andre,27
Sarraquinhos,29
Solveira,31
Tourem,32
Vila da Ponte,35
Cambeses do Rio, Donoes e Mourilhe,36
Meixedo e Padornelos,37
Montalegre e Padroso,38
Paradela, Contim e Fiaes,39
Sezelhe e Covelaes,40
Venda Nova e Pondras,41
Viade de Baixo e Fervidelas,42
Vilar de Perdizes e Meixide,43
Murca,7
Candedo,01
Fiolhoso,03
Jou,04
Murca,05
Valongo de Milhais,08
Carva e Vilares,10
Noura e Palheiros,11
Peso da Regua,8
Fontelas,02
Loureiro,05
Sedielos,09
Vilarinho Dos Freires,10
Galafura e Covelinhas,13
Moura Morta e Vinhos,14
Peso da Regua e Godim,15
Poiares e Canelas,16
Ribeira de Pena,9
Alvadia,01
Canedo,02
Santa Marinha,06
Cerva e Limoes,08
Salvador e Santo Aleixo de Alem-Tamega,09
Sabrosa,10
Celeiros,01
Covas do Douro,02
Gouvinhas,04
Parada de Pinhao,05
Pacos,07
Sabrosa,09
S. Lourenco de Ribapinhao,11
Souto Maior,13
Torre do Pinhao,14
Vilarinho de S. Romao,15
Provesende, Gouvaes Douro, S.Cristovao Douro,16
Sao Martinho de Antas e Paradela de Guiaes,17
Santa Marta de Penaguiao,11
Alvacoes do Corgo,01
Cumieira,02
Fontes,03
Medroes,06
Sever,10
Lobrigos (S.Miguel e S.Joao Baptista) e Sanhoane,11
Louredo e Fornelos,12
Valpacos,12
Agua Reves e Crasto,01
Argeriz,03
Boucoaes,05
Canaveses,06
Ervoes,09
Fornos do Pinhal,11
Frioes,12
Padrela e Tazem,15
Possacos,16
Rio Torto,17
Santa Maria de Emeres,19
Santa Valha,20
Santiago de Ribeira de Alhariz,21
S. Joao da Corveira,22
S. Pedro de Veiga de Lila,23
Serapicos,24
Vales,27
Vassal,29
Veiga de Lila,30
Vilarandelo,31
Carrazedo de Montenegro e Curros,32
Lebucao, Fiaes e Nozelos,33
Sonim e Barreiros,34
Tinhela e Alvarelhos,35
Valpacos e Sanfins,36
Vila Pouca de Aguiar,13
Alfarela de Jales,02
Bornes de Aguiar,03
Bragado,04
Capeludos,05
Soutelo de Aguiar,10
Teloes,11
Tresminas,12
Valoura,13
Vila Pouca de Aguiar,14
Vreia de Bornes,15
Vreia de Jales,16
Sabroso de Aguiar,17
Alvao,19
Pensalvos e Parada de Monteiros,20
Vila Real,14
Abacas,01
Andraes,03
Arroios,04
Campea,06
Folhadela,09
Guiaes,10
Lordelo,14
Mateus,15
Mondroes,16
Parada de Cunhos,20
Torgueda,26
Vila Marim,29
Adoufe e Vilarinho de Samarda,31
Borbela e Lamas de Olo,32
Constantim e Vale de Nogueiras,33
Moucos e Lamares,34
Nogueira e Ermida,35
Pena, Quinta e Vila Cova,36
Sao Tome do Castelo e Justes,37
Nossa Senhora da Conceicao, Sao Pedro e Sao Dinis,38
VIANA DO CASTELO,16
Arcos de Valdevez,1
Aboim Das Chocas,01
Aguia,02
Azere,04
Cabana Maior,05
Cabreiro,06
Cendufe,08
Couto,09
Gavieira,13
Gondoriz,15
Miranda,21
Monte Redondo,22
Oliveira,23
Paco,24
Padroso,25
Prozelo,28
Rio Frio,30
Rio de Moinhos,31
Sabadim,33
Jolda (S. Paio),42
Senharei,44
Sistelo,45
Soajo,46
Vale,49
Alvora e Loureda,52
Arcos de Valdevez (Sao Paio) e Giela,53
Salvador, Vila Fonche e Parada,54
Eiras e Mei,55
Grade e Carralcova,56
